,recid,radate,assignmt,site,training,afdc,sex,class_tr,ojt_jsa,oth_serv,bdate,age,earnings,prevearn,married,pbhous,hsorged,black,hispanic,age2225,age2629,age3035,age3644,age4554,f2sms,wkless13
62,300105,1988-09-21,0,CV,0,1,0,0,1,0,1957-09-13,31,26944.0,0.0,0.0,0.0,1.0,1,0,0,0,1,0,0,1,1.0
63,300108,1989-01-17,0,NE,0,0,0,0,1,0,1966-07-01,22,2787.0,12000.0,0.0,1.0,1.0,1,0,1,0,0,0,0,0,0.0
64,300110,1989-04-14,1,IN,1,0,1,0,0,1,1964-12-23,24,11832.0,0.0,0.0,0.06431255,0.68767726,1,0,1,0,0,0,0,0,1.0
65,300113,1988-05-26,1,LC,1,0,0,0,0,1,1951-05-04,37,8127.0,3200.0,1.0,1.0,1.0,0,0,0,0,0,1,0,0,0.0
66,300114,1988-06-01,0,CI,0,0,1,0,0,1,1962-07-03,25,9579.0,4103.911,0.0,1.0,1.0,0,0,1,0,0,0,0,0,0.0
67,300115,1988-08-31,0,IN,0,0,1,0,0,1,1963-05-25,25,26525.0,14102.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0.0
68,300119,1988-01-29,1,IN,1,0,1,0,1,0,1964-05-05,23,8860.0,1500.0,0.0,0.0,1.0,1,0,1,0,0,0,0,0,0.0
69,300122,1989-06-09,1,IN,1,0,1,0,1,0,1967-05-18,22,43596.0,11653.0,0.0,0.0,1.0,0,0,1,0,0,0,0,1,0.0
70,300123,1988-07-15,1,IN,1,0,1,0,1,0,1956-02-14,32,48727.0,1000.0,0.0,0.0,1.0,1,0,0,0,1,0,0,0,0.40733594
71,300125,1988-02-25,1,IN,1,0,0,0,1,0,1955-02-28,32,28029.0,0.0,1.0,0.0,1.0,0,0,0,0,1,0,0,1,1.0
72,300128,1988-11-28,0,PR,0,1,0,1,0,0,1953-01-05,35,20865.0,0.0,0.21116078,0.0,0.0,0,0,0,0,1,0,0,0,1.0
73,300129,1988-01-08,1,IN,1,0,1,0,1,0,1958-11-09,29,56089.0,5280.0,1.0,0.0,1.0,1,0,0,1,0,0,0,1,0.0
74,300131,1988-12-08,1,OK,1,0,1,0,0,1,1936-11-30,52,16042.0,4103.911,0.0,0.0,1.0,0,0,0,0,0,0,1,1,0.0
75,300133,1988-07-06,1,CC,0,0,1,0,1,0,1952-03-06,36,4310.0,1546.0,0.0,0.0,1.0,0,1,0,0,0,1,0,1,0.0
76,300134,1989-05-23,1,PR,0,1,0,0,0,1,1949-09-02,39,2952.0,0.0,0.21116078,0.0,0.0,0,1,0,0,0,1,0,0,1.0
77,300136,1988-02-19,1,IN,1,0,0,1,0,0,1950-07-26,37,23830.0,4500.0,0.0,0.0,1.0,1,0,0,0,0,1,0,0,0.0
78,300139,1988-02-11,1,MD,0,1,0,0,1,0,1961-02-20,26,13871.0,4421.0,0.21116078,1.0,1.0,0,0,0,1,0,0,0,0,0.0
79,300140,1988-08-04,1,CI,1,0,1,1,0,0,1965-07-24,23,9962.0,12088.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0.0
80,300141,1988-10-17,1,IN,0,0,1,0,0,1,1965-01-30,23,14459.0,5500.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0.0
81,300144,1989-07-28,0,IN,0,0,0,0,0,1,1959-12-24,29,3721.0,9000.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0.0
82,300146,1988-04-06,1,IN,0,1,0,0,1,0,1965-09-19,22,6261.0,500.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0.0
83,300153,1988-09-29,0,IN,0,0,1,0,0,1,1964-03-24,24,35676.0,4000.0,0.0,0.0,1.0,0,0,1,0,0,0,0,1,0.0
84,300154,1988-05-19,1,PR,0,1,0,0,0,1,1950-02-03,38,12758.0,0.0,0.21116078,0.0,1.0,0,1,0,0,0,1,0,0,1.0
85,300155,1989-06-16,0,IN,0,0,1,0,1,0,1963-11-09,25,0.0,4103.911,1.0,0.06431255,1.0,1,0,1,0,0,0,0,0,0.0
86,300156,1988-09-23,1,IN,1,0,0,0,1,0,1963-05-31,25,9003.0,8440.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0.0
87,300158,1988-09-19,0,HF,0,0,1,0,0,1,1958-10-03,29,24135.0,100.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1.0
88,300159,1989-01-24,0,MN,0,0,1,1,0,0,1963-07-22,25,2612.0,11490.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0.0
89,300160,1989-01-09,1,SM,0,0,1,0,1,0,1966-01-23,22,698.0,2500.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0.0
90,300161,1988-02-29,1,CV,0,0,0,0,1,0,1964-04-02,23,141.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,1.0
91,300163,1988-03-01,1,JK,0,0,1,0,1,0,1956-02-07,32,34593.0,6500.0,1.0,0.0,1.0,1,0,0,0,1,0,0,0,0.0
92,300165,1989-01-26,0,OK,0,0,1,0,0,1,1959-04-15,29,17171.0,4103.911,0.0,0.0,1.0,1,0,0,1,0,0,0,1,0.0
93,300166,1988-06-03,0,IN,0,0,1,0,1,0,1961-02-21,27,252.0,4103.911,0.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0
94,300169,1988-02-16,1,CV,1,0,1,0,1,0,1965-08-22,22,10840.0,6000.0,0.33528507,0.0,1.0,0,0,1,0,0,0,0,0,0.0
95,300171,1989-06-26,0,CI,0,0,1,1,0,0,1966-07-30,22,0.0,1927.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0.0
96,300172,1989-08-24,1,LC,1,0,1,0,0,1,1965-06-01,24,0.0,150.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1.0
97,300173,1988-10-24,1,CC,0,0,1,0,1,0,1966-08-23,22,27431.0,8000.0,1.0,0.0,1.0,0,0,1,0,0,0,0,0,0.0
98,300174,1988-04-22,0,IN,0,0,0,0,0,1,1912-12-02,75,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0
99,300175,1988-05-04,1,IN,1,0,0,0,1,0,1933-01-04,55,0.0,8750.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0.0
100,300176,1989-09-15,0,PR,0,1,0,0,0,1,1958-10-10,30,0.0,0.0,0.21116078,0.0,1.0,0,1,0,0,1,0,0,0,1.0
101,300178,1988-07-29,1,OH,0,0,1,0,1,0,1955-03-27,33,30.0,4103.911,0.0,0.0,1.0,0,0,0,0,1,0,0,1,1.0
102,300181,1988-12-01,1,CC,0,0,0,0,1,0,1949-07-11,39,1929.0,422.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1.0
103,300182,1988-11-22,1,SM,0,0,1,0,1,0,1951-02-04,37,0.0,3815.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1.0
104,300187,1988-03-18,1,JK,1,0,1,1,0,0,1956-12-15,31,90483.0,2000.0,0.33528507,0.0,1.0,1,0,0,0,1,0,0,0,1.0
105,300188,1988-06-09,1,HF,0,0,1,0,0,1,1956-04-15,32,2940.0,4103.911,0.0,0.0,1.0,1,0,0,0,1,0,0,1,0.0
106,300189,1988-06-02,0,SM,0,1,0,0,1,0,1963-03-14,25,19344.0,1000.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0.0
107,300191,1988-02-12,1,CC,1,0,0,0,0,1,1965-11-25,22,3900.0,2444.656,0.0,0.0,0.0,0,1,1,0,0,0,0,1,1.0
108,300192,1989-06-30,1,IN,0,0,0,0,0,1,1961-05-31,28,47184.0,15000.0,0.0,0.0,1.0,1,0,0,1,0,0,0,0,0.0
109,300193,1989-06-22,0,NE,0,0,1,1,0,0,1955-06-09,34,1008.0,212.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,1.0
110,300196,1989-02-10,1,IN,1,0,1,0,0,1,1958-02-02,31,3830.0,4103.911,0.33528507,0.0,1.0,1,0,0,0,1,0,0,0,0.0
111,300201,1989-07-12,1,IN,1,0,1,0,1,0,1964-10-10,24,45677.0,4103.911,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0.40733594
112,300202,1988-08-31,1,MT,0,0,0,0,0,1,1962-09-30,25,22026.0,6000.0,0.0,0.0,1.0,0,0,1,0,0,0,0,1,0.0
113,300207,1988-04-22,1,JK,1,0,1,1,0,0,1963-04-06,25,19501.0,7000.0,1.0,0.0,1.0,1,0,1,0,0,0,0,1,0.0
114,300209,1988-05-12,0,IN,0,0,1,0,1,0,1955-09-01,32,60007.0,10000.0,1.0,0.0,1.0,0,0,0,0,1,0,0,0,0.0
115,300212,1989-03-16,0,LC,0,0,1,0,0,1,1945-06-11,43,13383.0,5500.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0.0
116,300214,1989-01-06,1,SM,1,0,1,0,1,0,1964-02-02,24,42547.0,11000.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0.0
117,300215,1988-02-08,1,LC,1,0,1,0,0,1,1962-05-27,25,9285.0,2300.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,1.0
118,300218,1988-09-27,1,JK,1,0,1,1,0,0,1962-02-10,26,2769.0,4000.0,0.0,0.0,1.0,1,0,0,1,0,0,0,0,0.0
119,300220,1988-08-23,0,MN,0,0,0,1,0,0,1964-04-09,24,22820.0,450.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0.0
120,300221,1988-01-20,0,IN,0,0,1,0,1,0,1958-07-07,29,6119.0,1300.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0.0
121,300222,1988-10-25,0,CV,0,0,1,0,1,0,1933-12-30,54,8952.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,1.0
122,300223,1988-12-20,1,SM,0,0,0,0,1,0,1956-10-26,32,8244.0,2444.656,1.0,0.0,1.0,0,0,0,0,1,0,0,0,0.5332298
123,300225,1988-09-02,1,IN,0,0,1,0,1,0,1957-12-04,30,11797.0,5500.0,0.0,0.0,1.0,0,0,0,0,1,0,0,1,0.0
124,300228,1988-09-07,0,JK,0,0,1,1,0,0,1966-07-27,22,53103.0,12000.0,1.0,0.0,0.68767726,1,0,1,0,0,0,0,0,0.0
125,300229,1988-06-08,0,IN,0,1,0,0,1,0,1955-12-25,32,6432.0,2000.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0.0
126,300232,1989-04-20,1,PR,1,1,0,0,0,1,1950-07-14,38,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,1.0
127,300234,1988-12-14,1,JK,1,1,0,1,0,0,1966-02-05,22,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,1,1.0
128,300238,1989-01-27,1,IN,1,1,0,0,1,0,1959-03-17,29,20014.0,700.0,1.0,0.0,1.0,0,0,0,1,0,0,0,0,1.0
129,300239,1988-03-16,0,CV,0,1,0,1,0,0,1956-11-11,31,0.0,0.0,0.21116078,0.0,0.0,0,0,0,0,1,0,0,0,1.0
130,300241,1989-01-04,1,CC,1,0,1,0,1,0,1958-01-13,30,26700.0,4103.911,1.0,0.0,1.0,0,1,0,0,1,0,0,0,0.40733594
131,300242,1989-06-23,1,IN,0,1,0,0,0,1,1959-09-12,29,16194.0,2444.656,0.0,0.0,0.71640396,1,0,0,1,0,0,0,1,0.0
132,300243,1988-11-23,1,NE,0,0,1,1,0,0,1966-06-21,22,51495.0,4875.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0.0
133,300245,1988-06-17,0,IN,0,0,1,0,0,1,1957-04-21,31,3423.0,4103.911,0.0,0.0,0.68767726,1,0,0,0,1,0,0,0,0.0
134,300246,1989-03-08,1,IN,1,0,1,1,0,0,1910-05-10,78,13500.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,1.0
135,300247,1988-01-14,1,LC,1,0,0,1,0,0,1946-09-22,41,2874.0,3000.0,1.0,0.0,1.0,0,0,0,0,0,1,0,0,1.0
136,300248,1988-11-10,1,IN,0,0,1,0,1,0,1961-03-05,27,45968.0,2856.0,0.0,0.0,0.68767726,0,0,0,1,0,0,0,0,1.0
137,300250,1989-01-10,0,CC,0,0,1,1,0,0,1965-02-07,23,29458.0,9625.0,1.0,1.0,1.0,0,1,1,0,0,0,0,1,0.0
138,300252,1988-09-23,1,CV,1,0,0,1,0,0,1958-08-02,30,24365.0,600.0,0.21116078,0.0,1.0,0,0,0,0,1,0,0,1,0.0
139,300253,1988-11-30,1,JK,1,0,1,1,0,0,1958-11-01,30,3999.0,10000.0,0.33528507,0.0,1.0,1,0,0,0,1,0,0,0,0.0
140,300256,1987-12-16,1,IN,0,0,0,0,1,0,1955-04-18,32,43734.0,6500.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0
141,300257,1988-02-19,0,CC,0,0,1,0,0,1,1951-12-19,36,83989.0,10000.0,0.0,0.0,1.0,0,1,0,0,0,1,0,1,1.0
142,300258,1988-09-29,1,IN,1,0,1,0,0,1,1963-12-26,24,4881.0,4103.911,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0.0
143,300259,1989-03-29,0,CI,0,0,1,1,0,0,1948-03-14,41,0.0,19000.0,1.0,0.0,1.0,0,0,0,0,0,1,0,0,0.0
144,300260,1988-03-09,0,IN,0,0,0,0,1,0,1935-01-29,53,0.0,2444.656,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0.5332298
145,300265,1988-09-19,0,CV,0,0,0,0,1,0,1951-08-15,37,37122.0,3000.0,1.0,0.0,0.71640396,0,0,0,0,0,1,0,0,0.0
146,300266,1987-12-11,1,IN,0,1,0,0,0,1,1964-02-18,23,40305.0,1024.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0.5332298
147,300270,1988-07-07,1,CV,0,0,1,0,0,1,1964-12-26,23,225.0,4103.911,0.0,0.0,1.0,1,0,1,0,0,0,0,1,1.0
148,300273,1988-04-15,0,OH,0,0,1,0,1,0,1913-07-15,74,2824.0,5000.0,1.0,0.0,1.0,0,0,0,0,0,0,0,1,1.0
149,300274,1988-03-16,0,CV,0,1,0,0,1,0,1957-09-12,30,10371.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0
150,300276,1989-07-13,1,LC,1,1,0,1,0,0,1954-09-08,34,25585.0,0.0,0.0,1.0,1.0,0,1,0,0,1,0,0,0,0.0
151,300279,1989-01-11,1,PR,1,0,1,1,0,0,1947-06-27,41,17470.0,8120.0,1.0,0.0,0.0,0,1,0,0,0,1,0,1,0.0
152,300282,1988-10-04,1,CV,1,0,0,1,0,0,1949-10-18,38,0.0,2444.656,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1.0
153,300283,1988-11-02,0,PR,0,1,0,1,0,0,1949-06-07,39,5854.0,350.0,0.21116078,1.0,1.0,1,0,0,0,0,1,0,1,1.0
154,300287,1989-02-03,0,IN,0,0,1,0,0,1,1961-02-09,27,10047.0,86.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0.0
155,300288,1989-09-11,0,LC,0,0,0,0,0,1,1951-04-06,38,62424.0,14665.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0.0
156,300289,1988-11-16,1,CV,1,0,1,0,1,0,1959-07-17,29,13023.0,4103.911,0.33528507,0.0,0.68767726,0,0,0,1,0,0,0,1,0.0
157,300290,1989-03-15,1,MN,1,0,1,0,1,0,1926-01-17,63,0.0,1045.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0
158,300292,1988-05-19,1,PR,0,0,1,0,0,1,1959-08-30,28,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,1,1.0
159,300293,1989-03-17,1,IN,0,0,1,0,0,1,1962-01-14,27,4302.0,4103.911,0.0,0.0,1.0,1,0,0,1,0,0,0,0,0.0
160,300294,1989-07-31,1,LC,1,0,0,1,0,0,1961-12-05,27,26214.0,5730.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0.0
161,300298,1988-12-06,0,CC,0,0,0,0,1,0,1966-03-01,22,17943.0,2400.0,1.0,0.0,1.0,0,1,1,0,0,0,0,0,0.0
162,300301,1988-07-19,0,JK,0,0,1,1,0,0,1947-09-14,40,0.0,6000.0,0.0,0.0,1.0,0,0,0,0,0,1,0,1,0.0
163,300302,1989-08-09,1,IN,0,0,0,0,1,0,1950-01-07,39,12586.0,1000.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0.0
164,300303,1988-12-29,1,MN,0,0,1,0,1,0,1934-07-18,54,5637.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1.0
165,300305,1988-08-26,0,MN,0,0,0,0,1,0,1920-04-29,68,1935.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0
166,300306,1988-06-03,1,IN,0,0,1,0,0,1,1938-09-20,49,11619.0,2112.0,0.33528507,0.0,1.0,1,0,0,0,0,0,1,1,1.0
167,300307,1989-02-15,1,SM,0,0,1,0,1,0,1962-10-23,26,5992.0,2725.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0.0
168,300308,1989-08-31,0,LC,0,0,1,0,0,1,1947-05-16,42,2993.0,1100.0,0.0,0.0,1.0,0,0,0,0,0,1,0,1,1.0
169,300309,1988-11-30,0,SM,0,0,1,0,1,0,1947-09-06,41,0.0,671.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1.0
170,300310,1988-09-29,1,IN,0,0,0,0,1,0,1954-08-03,34,22614.0,130.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.5332298
171,300312,1988-02-12,1,IN,0,0,0,0,0,1,1951-01-22,37,30894.0,2444.656,1.0,0.0,1.0,0,0,0,0,0,1,0,0,0.0
